2023-09-18 23:50:13	hello system
2023-09-20 21:45:02	[INFO]	hello system

2023-09-20 22:02:49	[INFO]	hello system

2023-09-20 22:07:58	[INFO]	hello system

2023-09-20 22:08:36	[INFO]	hello system

2023-09-20 22:22:22	[INFO]	hello system

2023-09-20 22:24:01	[INFO]	hello system

2023-09-20 22:24:34	[INFO]	hello system

2023-09-20 22:41:44	[INFO]	hello system

2023-09-20 22:52:41	[INFO]	hello system

2023-09-20 22:52:41	[INFO]	hello system

2023-09-20 23:40:56	[INFO]	hello system

2023-09-20 23:40:56	[INFO]	hello system

2023-09-20 23:44:14	[INFO]	hello system

2023-09-20 23:44:14	[INFO]	hello system

2023-09-27 14:27:27	[INFO]	hello system

2023-09-27 14:27:27	[INFO]	hello system

2023-09-27 14:39:04	[INFO]	hello system

2023-09-27 14:39:04	[INFO]	hello system

2023-09-28 22:00:58	[INFO]	hello system

2023-09-28 22:00:58	[INFO]	hello system

2023-11-13 16:19:33	[INFO]	LoadConfFile file=/home/yangxin/sylar-master/bin/conf/log.yml ok
2023-11-13 16:21:42	[INFO]	LoadConfFile file=/home/yangxin/sylar-master/bin/./conf/log.yml ok
2023-11-13 16:41:58	[INFO]	LoadConfFile file=/home/yangxin/sylar-master/bin/conf/log.yml ok
2023-11-13 16:45:23	[INFO]	LoadConfFile file=/home/yangxin/sylar-master/bin/conf/log.yml ok
2023-11-13 16:46:38	[INFO]	LoadConfFile file=/home/yangxin/sylar-master/bin/conf/log.yml ok
2023-11-13 16:46:38	[INFO]	LoadConfFile file=/home/yangxin/sylar-master/bin/conf/log2.yml ok
2023-11-13 16:46:38	[INFO]	LoadConfFile file=/home/yangxin/sylar-master/bin/conf/test.yml ok
2023-11-13 16:48:27	[INFO]	LoadConfFile file=/home/yangxin/sylar-master/bin/conf/log.yml ok
2023-11-13 16:48:27	[INFO]	LoadConfFile file=/home/yangxin/sylar-master/bin/conf/log2.yml ok
2023-11-13 16:48:27	[INFO]	LoadConfFile file=/home/yangxin/sylar-master/bin/conf/test.yml ok
2023-11-13 17:01:29	[INFO]	LoadConfFile file=/home/yangxin/sylar-master/bin/conf/log.yml ok
2023-11-13 17:01:29	[INFO]	LoadConfFile file=/home/yangxin/sylar-master/bin/conf/log2.yml ok
2023-11-13 17:01:29	[INFO]	LoadConfFile file=/home/yangxin/sylar-master/bin/conf/test.yml ok
